"","nbhd","schoolquality","avgcommute"
"1","Alder-Three Sisters Park",82.8671328671329,32
"2","Allendale",58.5751748251748,25
"3","Arvada Center",23.6276223776224,33
"4","Athmar Park",49.2395104895105,25
"5","Baker",64.3269230769231,25
"6","Bear Valley",31.7132867132867,29
"7","Benedict Park, Central Brighton",22.5524475524476,26.5
"8","Berrian Mountain",80.1048951048951,38
"9","Big Dry Creek",50.0961538461538,26
"10","Capitol Hill",22.534965034965,22.6666666666667
"11","Centennial Airport",41.4073426573427,22
"12","Central Commerce City",47.6048951048951,30.3333333333333
"13","Central East Aurora",32.5699300699301,32
"14","Central Northglenn",18.0506993006993,28.75
"15","Central south Littleton",78.6276223776224,26.5
"16","Central West Broomfield",80.0437062937063,26
"17","Charles Whitlock Rec Park and Morse Park",10.0087412587413,26
"18","Chautauqua, Table Mesa, and Devil's Thumb",95.1748251748252,21.5
"19","Cherry Creek Reservoir",86.9055944055944,24.5
"20","City Park",62.298951048951,22
"21","City Park West",13.4615384615385,23
"22","Civic Center",3.84615384615385,19
"23","Clark Centennial Park",50.5332167832168,24
"24","Clayton",43.9335664335664,28
"25","Clement Park",77.3164335664336,25
"26","Dekoevend Park",74.8076923076923,23.6666666666667
"27","Delmar Parkway, Jewell Heights, and Hoffman Heights",10.4458041958042,30.8333333333333
"28","East Arapaphoe",63.5926573426573,36.5
"29","East central Englewood",27.4562937062937,25.875
"30","East Old Golden RD",19.3006993006993,27
"31","Exposition Park and Aurora Hills",38.6975524475524,29.3076923076923
"32","Glover, Plum Creek Fairway and Crystal Valley Ranch",14.6153846153846,25.5
"33","Green Valley Ranch",33.9772727272727,31.5
"34","Gunbarrel Area",41.9755244755245,20
"35","Hackberry Hill",51.6171328671329,29
"36","Harvey Park",29.2307692307692,28.5
"37","Harvey Park South",31.3636363636364,27
"38","Hayden Green Mountain Park",46.284965034965,25.8
"39","Heritage Eagle Bend",74.4405594405594,31
"40","Heritage Hills and Stonegate",42.1765734265734,24.5555555555556
"41","Highland",31.1101398601399,22.5
"42","Highlands",86.9667832167832,NA
"43","Highlands Ranch East",63.8374125874126,24.9
"44","Highlands Ranch West",79.0297202797203,26.5555555555556
"45","Hine Lake, Powderhorn Park and Westbury Park",72.5524475524475,28.5
"46","Jefferson Park",42.8758741258741,23
"47","Kamemoto Park",28.0681818181818,25
"48","Ken Caryl Ranch",71.8006993006993,29.75
"49","Lac Amora Park and Zangs Spur Park",71.8356643356643,27.6666666666667
"50","Lakota Hills, Golden Proper",67.6398601398601,20.6666666666667
"51","Laredo Highline",18.4178321678322,32
"52","Lemon Gulch",60.3409090909091,30.6666666666667
"53","Lincoln Park",18.5751748251748,21.5
"54","Long Lake Ranch Park and North Table Mountain",65.6381118881119,29
"55","Louisville and Southeast Boulder Valley",63.1206293706294,21.3333333333333
"56","Lyons and Rabbit Mountain",88.4003496503496,29
"57","Mar Lee",27.8059440559441,28
"58","Montbello",25.0437062937063,28.1666666666667
