id,geoid10,nhid,nhname,createdAt,updatedAt
1,8001007801,283,Montview Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
2,8001007802,283,Montview Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
3,8001007900,283,Montview Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
4,8001008000,283,Montview Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
5,8001008100,283,Montview Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
6,8001008200,285,North Aurora,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
7,8001008308,285,North Aurora,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
8,8001008309,285,North Aurora,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
9,8001008353,285,North Aurora,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
10,8001008401,105,Northeast Adams,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
11,8001008402,105,Northeast Adams,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
12,8001008505,113,Central Northglenn,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
13,8001008506,113,Central Northglenn,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
14,8001008507,100,"'"Wyco Park",2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
15,8001008508,280,North Thornton,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
16,8001008523,200,Barr Lake State Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
17,8001008524,279,Todd Creek and East Thornton,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
18,8001008526,280,North Thornton,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
19,8001008529,280,North Thornton,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
20,8001008533,278,Riverdale Park and South Thornton,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
21,8001008534,278,Riverdale Park and South Thornton,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
22,8001008535,199,Central Commerce City,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
23,8001008536,200,Barr Lake State Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
24,8001008537,199,Central Commerce City,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
25,8001008538,200,Barr Lake State Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
26,8001008539,199,Central Commerce City,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
27,8001008540,279,Todd Creek and East Thornton,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
28,8001008541,279,Todd Creek and East Thornton,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
29,8001008542,108,East Brighton,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
30,8001008543,109,"'"Benedict Park",2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
31,8001008544,280,North Thornton,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
32,8001008545,280,North Thornton,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
33,8001008546,279,Todd Creek and East Thornton,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
34,8001008547,279,Todd Creek and East Thornton,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
35,8001008548,279,Todd Creek and East Thornton,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
36,8001008549,279,Todd Creek and East Thornton,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
37,8001008550,279,Todd Creek and East Thornton,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
38,8001008551,279,Todd Creek and East Thornton,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
39,8001008603,110,West Brighton,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
40,8001008604,110,West Brighton,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
41,8001008605,109,"'"Benedict Park",2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
42,8001008606,110,West Brighton,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
43,8001008705,198,South Commerce City,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
44,8001008706,198,South Commerce City,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
45,8001008709,198,South Commerce City,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
46,8001008801,197,"'"Derby",2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
47,8001008802,197,"'"Derby",2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
48,8001008901,198,South Commerce City,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
49,8001009001,277,Southwest Thornton,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
50,8001009002,101,Welby and East North Washington,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
51,8001009101,277,Southwest Thornton,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
52,8001009103,278,Riverdale Park and South Thornton,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
53,8001009104,278,Riverdale Park and South Thornton,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
54,8001009202,277,Southwest Thornton,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
55,8001009203,277,Southwest Thornton,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
56,8001009204,278,Riverdale Park and South Thornton,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
57,8001009206,278,Riverdale Park and South Thornton,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
58,8001009207,278,Riverdale Park and South Thornton,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
59,8001009304,113,Central Northglenn,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
60,8001009306,103,Federal Heights,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
61,8001009307,277,Southwest Thornton,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
62,8001009308,103,Federal Heights,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
63,8001009309,107,South Westminster,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
64,8001009310,103,Federal Heights,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
65,8001009316,103,Federal Heights,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
66,8001009318,277,Southwest Thornton,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
67,8001009319,103,Federal Heights,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
68,8001009320,103,Federal Heights,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
69,8001009321,103,Federal Heights,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
70,8001009322,281,Federal Heights North,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
71,8001009323,113,Central Northglenn,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
72,8001009325,112,Big Dry Creek,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
73,8001009326,99,North Central Westminster,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
74,8001009327,301,West Northglenn,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
