nhid,dist,sch_cd,School_Name,Lowest_Grade,Highest_Grade,COUNTY,geometry
1,dist1,5608,MATHEMATICS AND SCIENCE LEADERSHIP ACADEMY,Kindergarten,5th Grade,DENVER,010100000084CC9541B5405AC020FD135CACDA4340
1,dist2,3512,GOLDRICK ELEMENTARY SCHOOL,Preschool,5th Grade,DENVER,010100000020F0879FFF405AC0E833D93F4FD94340
1,dist3,9050,VALVERDE ELEMENTARY SCHOOL,Preschool,5th Grade,DENVER,0101000000A892C83EC8405AC01081238106DB4340
10,dist1,2207,DOWNTOWN DENVER EXPEDITIONARY SCHOOL,Kindergarten,5th Grade,DENVER,0101000000E475C4211B3F5AC0A89BFD8172DF4340
10,dist2,2027,POLARIS AT EBERT ELEMENTARY SCHOOL,Kindergarten,5th Grade,DENVER,0101000000149337C0CC3E5AC0E81E12BEF7DF4340
10,dist3,8945,UNIVERSITY PREP - ARAPAHOE ST.,Kindergarten,5th Grade,DENVER,0101000000C016F4DE183F5AC0B0AD9FFEB3E04340
100,dist1,8275,STEM LAB,Kindergarten,8th Grade,ADAMS,01010000009C20EA3E003E5AC05070784144F44340
100,dist2,9431,WESTGATE CHARTER,Kindergarten,12th Grade,ADAMS,01010000009C20EA3E003E5AC05070784144F44340
100,dist3,4172,HULSTROM OPTIONS K-8 SCHOOL,Kindergarten,8th Grade,ADAMS,010100000038807EDFBF3D5AC0487D04FEF0F34340
101,dist1,504,WELBY COMMUNITY SCHOOL,Preschool,6th Grade,ADAMS,0101000000588B4F01303E5AC0A0BFD02346EB4340
101,dist2,1878,CORONADO HILLS ELEMENTARY SCHOOL,Preschool,5th Grade,ADAMS,010100000004698D41273E5AC000CD599F72EC4340
101,dist3,9036,VALLEY VIEW K-8,Kindergarten,8th Grade,ADAMS,010100000080AB3C81B03F5AC0880C569C6AE94340
102,dist1,4465,JOSEPHINE HODGKINS ELEMENTARY SCHOOL,Preschool,5th Grade,ADAMS,01010000001493FE5E0A425AC07061889CBEE84340
102,dist2,3144,FRANCIS M. DAY ELEMENTARY SCHOOL,Preschool,5th Grade,ADAMS,0101000000F8D2DB9F8B405AC0B0BC564277E94340
102,dist3,8798,TENNYSON KNOLLS ELEMENTARY SCHOOL,Preschool,5th Grade,ADAMS,0101000000F8B48AFED0425AC06858703FE0E74340
103,dist1,654,THE PINNACLE CHARTER SCHOOL ELEMENTARY,Kindergarten,5th Grade,ADAMS,0101000000702AE09EE73F5AC0400A9E42AEEC4340
103,dist2,1622,CLARA E. METZ ELEMENTARY SCHOOL,Kindergarten,5th Grade,ADAMS,0101000000387D04FEF0405AC0A0F3531C07EC4340
103,dist3,2035,CROWN POINTE CHARTER ACADEMY,Kindergarten,8th Grade,ADAMS,01010000001081B1BE81415AC0B8075A8121ED4340
105,dist1,1168,BYERS ELEMENTARY SCHOOL,Preschool,6th Grade,ARAPAHOE,0101000000D8C743DFDD0D5AC0B8E9CF7EA4DA4340
105,dist2,3362,VALIANT ACADEMY,Kindergarten,12th Grade,ARAPAHOE,0101000000D8C743DFDD0D5AC0B8E9CF7EA4DA4340
105,dist3,8328,STRASBURG ELEMENTARY SCHOOL,Preschool,5th Grade,ADAMS,0101000000E418C91EA1145AC08854FCDF11DF4340
106,dist1,2582,ROCKY MOUNTAIN ELEMENTARY SCHOOL,Kindergarten,5th Grade,ADAMS,01010000000C60CAC001425AC0E8C70A7E1BF04340
106,dist2,8406,SUNSET RIDGE ELEMENTARY SCHOOL,Preschool,5th Grade,ADAMS,0101000000F823D3A1D3415AC0B0EC82C135EF4340
106,dist3,5834,MESA ELEMENTARY SCHOOL,Preschool,5th Grade,ADAMS,0101000000A47D3A1E33425AC028E1D05B3CEE4340
107,dist1,7810,FLYNN ELEMENTARY SCHOOL,Preschool,5th Grade,ADAMS,0101000000809C306134425AC0481CB28174ED4340
