nhid,dist,sch_cd,School_Name,Lowest_Grade,Highest_Grade,COUNTY,geometry
1,dist1,4730,KIPP DENVER COLLEGIATE HIGH SCHOOL,9th Grade,12th Grade,DENVER,010100000084CC9541B5405AC020FD135CACDA4340
1,dist2,3000,FLORENCE CRITTENTON HIGH SCHOOL,9th Grade,12th Grade,DENVER,0101000000649126DE01415AC0A0E447FC8ADB4340
1,dist3,9639,STRIVE PREP - SMART ACADEMY,9th Grade,12th Grade,DENVER,0101000000CCD38041D2415AC0B82B2D23F5D84340
10,dist1,2726,EMILY GRIFFITH HIGH SCHOOL,9th Grade,12th Grade,DENVER,0101000000E475C4211B3F5AC0A89BFD8172DF4340
10,dist2,1489,COMPASSION ROAD ACADEMY,9th Grade,12th Grade,DENVER,0101000000746C04E2753F5AC0B86E2EFEB6DD4340
10,dist3,9348,WEST CAREER ACADEMY,9th Grade,12th Grade,DENVER,010100000014B70A62A03F5AC088CC9541B5DD4340
100,dist1,9431,WESTGATE CHARTER,Kindergarten,12th Grade,ADAMS,01010000009C20EA3E003E5AC05070784144F44340
100,dist2,1752,COLORADO VIRTUAL ACADEMY (COVA),9th Grade,12th Grade,ADAMS,0101000000B0B3E89D0A3F5AC018CCD1E3F7F44340
100,dist3,6956,PATHWAYS FUTURE CENTER,Kindergarten,12th Grade,ADAMS,0101000000B0B321FFCC3E5AC09877D503E6F54340
101,dist1,263,GLOBAL LEADERSHIP ACADEMY,9th Grade,12th Grade,ADAMS,010100000048EC1340313F5AC08018213CDAEA4340
101,dist2,309,ACADEMY HIGH SCHOOL,9th Grade,12th Grade,ADAMS,01010000000448FB1F603D5AC06031957EC2ED4340
101,dist3,212,MAPLETON EARLY COLLEGE HIGH SCHOOL,9th Grade,12th Grade,ADAMS,01010000000448FB1F603D5AC0489259BDC3ED4340
102,dist1,3931,HIDDEN LAKE HIGH SCHOOL,9th Grade,12th Grade,ADAMS,0101000000E00CFE7E31425AC0489561DC0DEA4340
102,dist2,9466,WESTMINSTER HIGH SCHOOL,9th Grade,12th Grade,ADAMS,0101000000DC300A82C7425AC048A3AD4A22E94340
102,dist3,2837,EARLY COLLEGE OF ARVADA,6th Grade,12th Grade,ADAMS,01010000005CACA8C134435AC02078279F1EE74340
103,dist1,6914,THE PINNACLE CHARTER SCHOOL HIGH,9th Grade,12th Grade,ADAMS,0101000000702AE09EE73F5AC0400A9E42AEEC4340
103,dist2,4699,NEW AMERICA SCHOOL - THORNTON,9th Grade,12th Grade,ADAMS,010100000040F59D5F943E5AC028F3C81F0CEE4340
103,dist3,263,GLOBAL LEADERSHIP ACADEMY,9th Grade,12th Grade,ADAMS,010100000048EC1340313F5AC08018213CDAEA4340
105,dist1,1176,BYERS JUNIOR-SENIOR HIGH SCHOOL,7th Grade,12th Grade,ARAPAHOE,0101000000D8C743DFDD0D5AC0B8E9CF7EA4DA4340
105,dist2,3362,VALIANT ACADEMY,Kindergarten,12th Grade,ARAPAHOE,0101000000D8C743DFDD0D5AC0B8E9CF7EA4DA4340
105,dist3,7133,PRAIRIE CREEKS CHARTER SCHOOL,9th Grade,12th Grade,ADAMS,0101000000A074E95F92145AC030938C9C85DF4340
106,dist1,1550,COLORADO PREP ACADEMY,Kindergarten,12th Grade,ADAMS,0101000000781211FE45435AC0A8531EDD08ED4340
106,dist2,6971,PIKES PEAK ONLINE SCHOOL,9th Grade,12th Grade,ADAMS,0101000000781211FE45435AC0A8531EDD08ED4340
106,dist3,6402,NORTHGLENN HIGH SCHOOL,9th Grade,12th Grade,ADAMS,010100000030A79201A03F5AC0D8AF3BDD79F04340
107,dist1,1550,COLORADO PREP ACADEMY,Kindergarten,12th Grade,ADAMS,0101000000781211FE45435AC0A8531EDD08ED4340
107,dist2,6971,PIKES PEAK ONLINE SCHOOL,9th Grade,12th Grade,ADAMS,0101000000781211FE45435AC0A8531EDD08ED4340
107,dist3,3931,HIDDEN LAKE HIGH SCHOOL,9th Grade,12th Grade,ADAMS,0101000000E00CFE7E31425AC0489561DC0DEA4340
108,dist1,2399,EAGLE RIDGE ACADEMY,9th Grade,12th Grade,ADAMS,010100000068D3D85E0B325AC0C897C28366FD4340
108,dist2,1560,BOLT ACADEMY,9th Grade,12th Grade,ADAMS,0101000000ACBCAB1E30335AC0D0C72764E7FD4340
108,dist3,1021,BRIGHTON HERITAGE ACADEMY,6th Grade,12th Grade,ADAMS,0101000000984A3FE1EC335AC02862D8614CFE4340
109,dist1,2399,EAGLE RIDGE ACADEMY,9th Grade,12th Grade,ADAMS,010100000068D3D85E0B325AC0C897C28366FD4340
109,dist2,1560,BOLT ACADEMY,9th Grade,12th Grade,ADAMS,0101000000ACBCAB1E30335AC0D0C72764E7FD4340
109,dist3,1021,BRIGHTON HERITAGE ACADEMY,6th Grade,12th Grade,ADAMS,0101000000984A3FE1EC335AC02862D8614CFE4340
11,dist1,6509,DENVER ONLINE HIGH SCHOOL,9th Grade,12th Grade,DENVER,01010000000C691B7FA2405AC0F87B629D2AE34340
11,dist2,67,ACADEMY OF URBAN LEARNING,9th Grade,12th Grade,DENVER,01010000006406F1811D415AC09066D7BD15E14340
11,dist3,6314,NORTH HIGH SCHOOL,9th Grade,12th Grade,DENVER,0101000000FCC9181F66415AC0D0E95DBC1FE14340
110,dist1,1021,BRIGHTON HERITAGE ACADEMY,6th Grade,12th Grade,ADAMS,0101000000984A3FE1EC335AC02862D8614CFE4340
110,dist2,1022,BRIGHTON HIGH SCHOOL,9th Grade,12th Grade,ADAMS,01010000003CEF8D2100345AC0A85C5320B3FD4340
110,dist3,1560,BOLT ACADEMY,9th Grade,12th Grade,ADAMS,0101000000ACBCAB1E30335AC0D0C72764E7FD4340
111,dist1,5043,LEGACY HIGH SCHOOL,9th Grade,12th Grade,BROOMFIELD,0101000000ACE9414129415AC0A04DB9C2BBF84340
111,dist2,6060,MOUNTAIN RANGE HIGH SCHOOL,9th Grade,12th Grade,ADAMS,01010000001072DEFFC73F5AC088382BA226F64340
111,dist3,6956,PATHWAYS FUTURE CENTER,Kindergarten,12th Grade,ADAMS,0101000000B0B321FFCC3E5AC09877D503E6F54340
112,dist1,6060,MOUNTAIN RANGE HIGH SCHOOL,9th Grade,12th Grade,ADAMS,01010000001072DEFFC73F5AC088382BA226F64340
112,dist2,1752,COLORADO VIRTUAL ACADEMY (COVA),9th Grade,12th Grade,ADAMS,0101000000B0B3E89D0A3F5AC018CCD1E3F7F44340
112,dist3,15,ACADEMY OF CHARTER SCHOOLS,Preschool,12th Grade,ADAMS,0101000000E05AED612F425AC0F06C567DAEF44340
113,dist1,210,VANTAGE POINT,6th Grade,12th Grade,ADAMS,01010000007451F4C0C73F5AC0E894641D8EF24340
113,dist2,6402,NORTHGLENN HIGH SCHOOL,9th Grade,12th Grade,ADAMS,010100000030A79201A03F5AC0D8AF3BDD79F04340
113,dist3,6845,P-TECH EARLY COLLEGE AT NORTHGLENN HIGH SCHOOL,9th Grade,12th Grade,ADAMS,010100000030A79201A03F5AC0D8AF3BDD79F04340
115,dist1,2140,DEER TRAIL JUNIOR-SENIOR HIGH SCHOOL,6th Grade,12th Grade,ARAPAHOE,0101000000BC310400C7025AC0F0BDF8A23DCE4340
115,dist2,1176,BYERS JUNIOR-SENIOR HIGH SCHOOL,7th Grade,12th Grade,ARAPAHOE,0101000000D8C743DFDD0D5AC0B8E9CF7EA4DA4340
115,dist3,3362,VALIANT ACADEMY,Kindergarten,12th Grade,ARAPAHOE,0101000000D8C743DFDD0D5AC0B8E9CF7EA4DA4340
116,dist1,7842,SHERIDAN HIGH SCHOOL,9th Grade,12th Grade,ARAPAHOE,010100000084A5811FD5415AC0C08F15FC36D24340
116,dist2,8123,SOAR ACADEMY,6th Grade,12th Grade,ARAPAHOE,010100000084A5811FD5415AC0C08F15FC36D24340
116,dist3,5224,LITTLETON HIGH SCHOOL,9th Grade,12th Grade,ARAPAHOE,0101000000703FE081013F5AC0A0E1067C7ECE4340
12,dist1,2188,DENVER CENTER FOR 21ST LEARNING AT WYMAN,6th Grade,12th Grade,DENVER,010100000070E5EC9DD13D5AC03808E57D1CDF4340
12,dist2,2398,EAST HIGH SCHOOL,9th Grade,12th Grade,DENVER,0101000000F4EDEBC0393D5AC0780CC85EEFDE4340
