nhid,dist,sch_cd,School_Name,Lowest_Grade,Highest_Grade,COUNTY,geometry
1,dist1,4732,KIPP SUNSHINE PEAK ACADEMY,5th Grade,8th Grade,DENVER,010100000084CC9541B5405AC070CA15DEE5DA4340
1,dist2,9389,STRIVE PREP - WESTWOOD,6th Grade,8th Grade,DENVER,0101000000CCD38041D2415AC0B82B2D23F5D84340
1,dist3,8085,STRIVE PREP - FEDERAL,6th Grade,8th Grade,DENVER,01010000008CB7955E9B415AC048438D4292D74340
10,dist1,9693,WEST EARLY COLLEGE,6th Grade,12th Grade,DENVER,010100000014B70A62A03F5AC088CC9541B5DD4340
10,dist2,9702,WEST LEADERSHIP ACADEMY,6th Grade,12th Grade,DENVER,010100000014B70A62A03F5AC088CC9541B5DD4340
10,dist3,6098,MOREY MIDDLE SCHOOL,6th Grade,8th Grade,DENVER,01010000007842AF3F893E5AC018E17B7F83DE4340
100,dist1,8275,STEM LAB,Kindergarten,8th Grade,ADAMS,01010000009C20EA3E003E5AC05070784144F44340
100,dist2,9431,WESTGATE CHARTER,Kindergarten,12th Grade,ADAMS,01010000009C20EA3E003E5AC05070784144F44340
100,dist3,4172,HULSTROM OPTIONS K-8 SCHOOL,Kindergarten,8th Grade,ADAMS,010100000038807EDFBF3D5AC0487D04FEF0F34340
101,dist1,3590,GLOBAL INTERMEDIATE ACADEMY,4th Grade,8th Grade,ADAMS,010100000048EC1340313F5AC08018213CDAEA4340
101,dist2,9036,VALLEY VIEW K-8,Kindergarten,8th Grade,ADAMS,010100000080AB3C81B03F5AC0880C569C6AE94340
101,dist3,20,ADAMS CITY MIDDLE SCHOOL,6th Grade,8th Grade,ADAMS,0101000000388600E0D83B5AC0E89AADBCE4E94340
102,dist1,5388,M. SCOTT CARPENTER MIDDLE SCHOOL,6th Grade,8th Grade,ADAMS,0101000000B4075A8121405AC0388655BC91E94340
102,dist2,7278,RICARDO FLORES MAGON ACADEMY,Kindergarten,8th Grade,ADAMS,010100000018DE736039425AC0507FBDC282E54340
102,dist3,4334,COLORADO STEM ACADEMY,Kindergarten,8th Grade,ADAMS,010100000088C91B60E6415AC0C816F4DE18EA4340
103,dist1,6913,THE PINNACLE CHARTER SCHOOL MIDDLE,6th Grade,8th Grade,ADAMS,0101000000702AE09EE73F5AC0400A9E42AEEC4340
103,dist2,2035,CROWN POINTE CHARTER ACADEMY,Kindergarten,8th Grade,ADAMS,01010000001081B1BE81415AC0B8075A8121ED4340
103,dist3,7305,IVER C. RANUM MIDDLE SCHOOL,6th Grade,8th Grade,ADAMS,010100000004664CC11A415AC0103FAA61BFEB4340
105,dist1,3362,VALIANT ACADEMY,Kindergarten,12th Grade,ARAPAHOE,0101000000D8C743DFDD0D5AC0B8E9CF7EA4DA4340
105,dist2,8332,HEMPHILL MIDDLE SCHOOL,6th Grade,8th Grade,ADAMS,0101000000A059D93EE4145AC0E027806264DF4340
105,dist3,774,BENNETT MIDDLE SCHOOL,6th Grade,8th Grade,ADAMS,0101000000CC9717601F1B5AC0C074779D0DE14340
106,dist1,7812,SHAW HEIGHTS MIDDLE SCHOOL,6th Grade,8th Grade,ADAMS,010100000000EEB25F77425AC0A00244C18CED4340
106,dist2,2035,CROWN POINTE CHARTER ACADEMY,Kindergarten,8th Grade,ADAMS,01010000001081B1BE81415AC0B8075A8121ED4340
106,dist3,8310,STEM LAUNCH,Kindergarten,8th Grade,ADAMS,01010000006CD921FE61405AC048E9D2BF24EF4340
