OBJECTID,School_Code,School_Name,Address,City,State,Zip,Phone,Lowest_Grade,Highest_Grade,District_Code,District_Name,Setting,Charter_YN,Type_,COUNTY,LATITUDE,LONGITUDE,nhid,countyfp10,nhname
584,3512,GOLDRICK ELEMENTARY SCHOOL,1050 SOUTH ZUNI STREET,DENVER,CO,80223,7204246980,Preschool,5th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.697731,-105.015602,1,08031,Athmar Park
608,4730,KIPP DENVER COLLEGIATE HIGH SCHOOL,451 SOUTH TEJON STREET,DENVER,CO,80223,3039225324,9th Grade,12th Grade,880,DENVER COUNTY 1,Denver Metro,Y,Public School Physical Address,DENVER,39.708385,-105.011063,1,08031,Athmar Park
612,4732,KIPP SUNSHINE PEAK ACADEMY,375 S TEJON STREET,DENVER,CO,80223,3036235772,5th Grade,8th Grade,880,DENVER COUNTY 1,Denver Metro,Y,Public School Physical Address,DENVER,39.71014,-105.011063,1,08031,Athmar Park
623,5608,MATHEMATICS AND SCIENCE LEADERSHIP ACADEMY,451 SOUTH TEJON STREET,DENVER,CO,80223,7204241310,Kindergarten,5th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.708385,-105.011063,1,08031,Athmar Park
694,9050,VALVERDE ELEMENTARY SCHOOL,2030 WEST ALAMEDA AVENUE,DENVER,CO,80223,7204243250,Preschool,5th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.711136,-105.012222,1,08031,Athmar Park
541,2183,DENVER CENTER FOR INTERNATIONAL STUDIES,574 WEST 6TH AVE,DENVER,CO,80204,7204239000,6th Grade,12th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.72562,-104.993843,3,08031,Baker
542,2129,DENVER CENTER FOR INTERNATIONAL STUDIES AT FAIRMONT,520 WEST 3RD AVENUE,DENVER,CO,80223,7204247620,Preschool,5th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.720867,-104.994629,3,08031,Baker
272,4024,HINKLEY HIGH SCHOOL,1250 CHAMBERS ROAD,AURORA,CO,80011,3033401500,9th Grade,12th Grade,180,ADAMS-ARAPAHOE 28J,Denver Metro,N,Public School Physical Address,ARAPAHOE,39.735313,-104.80986,91,08005,Laredo Highline
278,2951,LAREDO CHILD DEVELOPMENT CENTER,1420 LAREDO ST,AURORA,CO,80011,3033649371,Preschool,Preschool,180,ADAMS-ARAPAHOE 28J,Denver Metro,N,Public School Physical Address,ARAPAHOE,39.738491,-104.80056,91,08005,Laredo Highline
279,4973,LAREDO ELEMENTARY SCHOOL,1350 LAREDO ST,AURORA,CO,80011,3033660314,Kindergarten,5th Grade,180,ADAMS-ARAPAHOE 28J,Denver Metro,N,Public School Physical Address,ARAPAHOE,39.736977,-104.800552,91,08005,Laredo Highline
253,465,AURORA FRONTIER K-8,3200 S JERICHO WAY,AURORA,CO,80013,3036931995,Preschool,8th Grade,180,ADAMS-ARAPAHOE 28J,Denver Metro,N,Public School Physical Address,ARAPAHOE,39.658875,-104.74778,151,08005,Conservatory
509,520,BARNUM ELEMENTARY SCHOOL,85 HOOKER STREET,DENVER,CO,80219,7204249590,Preschool,5th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.717884,-105.02887,4,08031,Barnum
635,6254,NEWLON ELEMENTARY SCHOOL,361 VRAIN STREET,DENVER,CO,80219,7204245150,Preschool,5th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.721718,-105.045509,5,08031,Barnum West
511,1077,BEAR VALLEY INTERNATIONAL SCHOOL,3005 SOUTH GOLDEN WAY,DENVER,CO,80227,7204239600,6th Grade,6th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.659534,-105.057693,6,08031,Bear Valley
563,2116,DSST: HENRY MIDDLE SCHOOL,3005 SOUTH GOLDEN WAY,DENVER,CO,80227,3038024130,6th Grade,6th Grade,880,DENVER COUNTY 1,Denver Metro,Y,Public School Physical Address,DENVER,39.659534,-105.057693,6,08031,Bear Valley
592,8054,HENRY WORLD SCHOOL GRADES 6-8,3005 SOUTH GOLDEN WAY,DENVER,CO,80227,7204239560,7th Grade,8th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.659534,-105.057693,6,08031,Bear Valley
602,4444,JOHN F KENNEDY HIGH SCHOOL,2855 SOUTH LAMAR STREET,DENVER,CO,80227,7204234300,9th Grade,12th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.661736,-105.06736,6,08031,Bear Valley
688,8888,TRAYLOR ACADEMY,2900 SOUTH IVAN WAY,DENVER,CO,80227,7204243480,Preschool,5th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.661442,-105.06282,6,08031,Bear Valley
671,8149,STEPHEN KNIGHT CENTER FOR EARLY EDUCATION,3245 EAST EXPOSITION AVENUE,DENVER,CO,80209,7204246500,Preschool,Kindergarten,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.703911,-104.948936,7,08031,Belcaro
520,1400,CENTENNIAL A SCHOOL FOR EXPEDITIONARY LEARNING,4665 RALEIGH STREET,DENVER,CO,80212,7204248900,Preschool,5th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.781448,-105.041672,8,08031,Berkeley
661,7942,SKINNER MIDDLE SCHOOL,3435 WEST 40TH AVENUE,DENVER,CO,80211,7204241420,6th Grade,8th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.771938,-105.032394,8,08031,Berkeley
533,5844,CONTEMPORARY LEARNING ACADEMY,200 E. 9TH AVE.,DENVER,CO,80203,7204236900,9th Grade,12th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.730381,-104.984795,9,08031,Capitol Hill
550,6088,DORA MOORE ECE-8 SCHOOL,846 CORONA STREET,DENVER,CO,80218,7204245300,Preschool,8th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.729702,-104.973999,9,08031,Capitol Hill
604,4494,JUSTICE HIGH SCHOOL DENVER,300 E. 9th Ave.,DENVER,CO,80203,3034805610,9th Grade,12th Grade,880,DENVER COUNTY 1,Denver Metro,Y,Public School Physical Address,DENVER,39.730377,-104.98291,9,08031,Capitol Hill
633,6098,MOREY MIDDLE SCHOOL,840 EAST 14TH AVENUE,DENVER,CO,80218,7204240700,6th Grade,8th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.738388,-104.977127,9,08031,Capitol Hill
1128,1238,CAMPBELL ELEMENTARY SCHOOL,6500 OAK STREET,ARVADA,CO,80004,3039821440,Preschool,6th Grade,1420,JEFFERSON COUNTY R-1,Denver Metro,N,Public School Physical Address,JEFFERSON,39.815453,-105.118942,133,08059,Northwest Arvada
1166,3216,FREMONT ELEMENTARY SCHOOL,6420 URBAN,ARVADA,CO,80004,3039821699,Kindergarten,6th Grade,1420,JEFFERSON COUNTY R-1,Denver Metro,N,Public School Physical Address,JEFFERSON,39.813786,-105.133911,133,08059,Northwest Arvada
1193,5145,LINCOLN CHARTER ACADEMY,7180 OAK STREET,ARVADA,CO,80004,3034675363,Preschool,8th Grade,1420,JEFFERSON COUNTY R-1,Denver Metro,Y,Public School Physical Address,JEFFERSON,39.826069,-105.119064,133,08059,Northwest Arvada
1217,6470,OBERON JUNIOR HIGH SCHOOL,7300 QUAIL STREET,ARVADA,CO,80005,3039822020,7th Grade,8th Grade,1420,JEFFERSON COUNTY R-1,Denver Metro,N,Public School Physical Address,JEFFERSON,39.828918,-105.123436,133,08059,Northwest Arvada
510,650,BEACH COURT ELEMENTARY SCHOOL,4950 BEACH COURT,DENVER,CO,80221,7204249470,Preschool,5th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.78653,-105.018089,11,08031,Chaffee Park
540,2188,DENVER CENTER FOR 21ST LEARNING AT WYMAN,1690 WILLIAMS STREET,DENVER,CO,80218,7204242980,6th Grade,12th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.743057,-104.965919,15,08031,City Park West
513,1056,BROMWELL ELEMENTARY SCHOOL,2500 EAST 4TH AVENUE,DENVER,CO,80206,7204249330,Preschool,5th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.722496,-104.957138,13,08031,Cherry Creek
567,2398,EAST HIGH SCHOOL,1600 CITY PARK ESPLANADE,DENVER,CO,80206,7204238300,9th Grade,12th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.74168,-104.95665,14,08031,City Park
1162,2946,FITZMORRIS ELEMENTARY SCHOOL,6250 INDEPENDENCE STREET,ARVADA,CO,80004,3039821640,Preschool,6th Grade,1420,JEFFERSON COUNTY R-1,Denver Metro,N,Public School Physical Address,JEFFERSON,39.810555,-105.104843,134,08059,Alta Vista and Memorial Park
532,1489,COMPASSION ROAD ACADEMY,1000 CHEROKEE STREET,DENVER,CO,80204,7204242200,9th Grade,12th Grade,880,DENVER COUNTY 1,Denver Metro,N,Public School Physical Address,DENVER,39.732147,-104.99157,16,08031,Civic Center
