"","geo_id","tract","tract_num","less10","10to19","20to29","30to39","40to59","60to89","90plus","total_outside","workedhome","total","avgcommute"
"1","08001007801","Census Tract 78.01, Adams County, Colorado",7801,18,513,404,490,182,129,167,1903,36,1939,"33"
"2","08001007802","Census Tract 78.02, Adams County, Colorado",7802,31,604,316,358,300,173,58,1840,6,1846,"30"
"3","08001007900","Census Tract 79, Adams County, Colorado",7900,118,481,881,492,319,131,128,2550,48,2598,"30"
"4","08001008000","Census Tract 80, Adams County, Colorado",8000,84,664,664,558,327,211,40,2548,62,2610,"30"
"5","08001008100","Census Tract 81, Adams County, Colorado",8100,60,232,116,62,34,25,0,529,33,562,"20"
"6","08001008200","Census Tract 82, Adams County, Colorado",8200,273,585,393,460,298,79,14,2102,105,2207,"24"
"7","08001008308","Census Tract 83.08, Adams County, Colorado",8308,50,657,317,533,291,185,74,2107,84,2191,"31"
"8","08001008309","Census Tract 83.09, Adams County, Colorado",8309,59,439,464,311,138,63,0,1474,28,1502,"24"
"9","08001008353","Census Tract 83.53, Adams County, Colorado",8353,187,817,701,971,547,153,193,3569,94,3663,"32"
"10","08001008401","Census Tract 84.01, Adams County, Colorado",8401,195,269,288,541,541,195,53,2082,152,2234,"34"
"11","08001008402","Census Tract 84.02, Adams County, Colorado",8402,286,313,193,382,556,310,81,2121,259,2380,"35"
"12","08001008505","Census Tract 85.05, Adams County, Colorado",8505,189,637,768,908,533,341,98,3474,160,3634,"33"
"13","08001008506","Census Tract 85.06, Adams County, Colorado",8506,309,815,476,733,396,165,91,2985,77,3062,"28"
"14","08001008507","Census Tract 85.07, Adams County, Colorado",8507,332,658,702,795,594,238,68,3387,147,3534,"28"
"15","08001008508","Census Tract 85.08, Adams County, Colorado",8508,90,442,549,788,743,234,0,2846,171,3017,"32"
"16","08001008523","Census Tract 85.23, Adams County, Colorado",8523,420,581,716,794,896,346,126,3879,312,4191,"32"
"17","08001008524","Census Tract 85.24, Adams County, Colorado",8524,169,859,968,938,1089,199,0,4222,212,4434,"30"
"18","08001008526","Census Tract 85.26, Adams County, Colorado",8526,307,678,626,613,797,186,65,3272,372,3644,"31"
