SITUS_ZIP,TOTAL_VALUE
80219-1067,283000
80211-2006,426900
80209-4540,797900
80207-3110,891100
80205-4754,373600
80212-2007,421500
None,100
80239-3753,241100
80238-2828,339900
80223-2917,277000
80239-4188,278900
80227-3823,318700
80220-2042,203800
80211-4068,707300
80221-1308,283700
80219-2301,245000
80212-1338,955300
80221-1216,290300
80219-2040,133300
80238-2477,2617200
80237-3463,473400
80210-4107,579600
80218-3627,443500
80249-7465,408900
80239-5037,231900
80211-3757,457900
80220-5920,1235400
80238-3470,631100
80211-2752,623100
None,333500
80219-4416,261100
80205-2634,515300
80210-5711,485200
80249-8680,296600
80223-2613,294700
80246-1051,1958000
80220-3322,238600
80206-4229,3188400
80206-4026,994400
80238-3174,535400
None,656100
80209-5007,388500
80235-2942,366600
80210-6324,523600
80210-6534,402400
80249-8169,278800
80219-5850,241500
80204-2967,219600
80239-5404,256600
80231-4163,436400
80224-1426,179400
80223-3018,200400
80219-4905,2316700
80218-1008,362300
80224-2137,413000
80211-3310,663400
80238-2942,365900
None,200
80207-2613,299000
80211-5092,430700
80219-6007,216100
80239-6018,210400
80219-2112,416200
80205-3640,378700
80249-8539,383300
80211-3161,351100
80123-1934,304300
80211-4060,470200
80219-5253,275000
80211-2744,390000
80219-6003,213000
None,401900
80205-4646,307800
None,338800
80238-3592,519000
80220-1763,434900
80220-5033,1111000
80231-5627,321500
80230-7077,606900
80223-1003,520300
None,200
80231-6427,324300
80209-4602,786000
None,303700
80219-2194,299500
80216-3521,157700
80220-1122,355500
80222-7318,325100
80236-3631,360300
80220-3458,323900
None,305300
80220-3555,240400
None,347800
80210-2022,1636500
80220-2712,394200
80206-4230,631600
80238-3015,446200
80207-3040,711300
None,842700
80209-3235,976900
80222-4425,337100
80212-1513,585600
80205-5618,222400
80219-1439,303900
80221-1534,219600
80219-1943,276700
80206-5538,672800
80239-5143,256000
80210-6828,763000
80235-3050,683800
80222-6719,449200
None,3247600
80219-3652,243300
80231-2657,260500
80205-4532,261400
80219-5412,216700
80206-3946,506400
80207-2939,377800
None,310200
80206-2011,469300
80238-3832,704800
80230-6998,568600
80227-3827,301600
80205-5566,314600
80238-2450,744900
80212-2808,374900
80209-2413,965500
None,624400
80209-4109,656600
None,509300
80230-7064,689200
80205-5607,420300
80238-2872,781200
None,100
80218-3503,796600
80239-7033,289100
80238-3015,442300
80210-6339,594700
80123-1862,307000
80203-2412,2744600
80211-2748,700100
80209-4627,743900
80220-1124,594200
80204-5005,1331700
80211-4648,650000
80231-2669,198300
80220-4952,425300
80219-3303,250800
80219-4232,249900
None,77100
80236-3209,441400
80238-3387,88100
80210-1620,445000
80219-2867,133700
80223-4014,571100
80220-1820,533800
80239-3862,238700
80210-6550,331200
None,1037500
80249-7353,328800
80206-4419,830000
80249-7067,266900
80223-2016,752400
80203-3619,None
None,None
None,None
80210-5016,361500
80223-1521,403600
80205-4746,451400
80219-5356,240100
80227-4138,329000
80246-1138,1195700
80220-2627,222000
80204-3017,226200
80206-3514,375400
80227-3572,332200
80231-4389,406800
80211-2533,385000
80236-2163,327400
80211-4541,547700
None,262700
80231-5694,206300
80220-3225,267800
80216-2227,173800
80207-3751,770400
80209-4322,542500
80211-5016,665500
80231-6418,370000
80239-7012,291900
80238-3743,396300
None,200
None,370500
None,340400
80219-4710,259000
None,129500
None,59000
80207-3751,1091300
80239-5840,236200
80239-4136,209500
80220-5651,1340400
None,272600
None,310700
80219-2756,303800
80211-2709,407400
80223-3530,275200
80231-4127,381700
80237-1305,503600
80238-3227,555200
None,497800
None,100
80212-1427,498000
80220-2425,510500
80205-4518,421000
80210-6510,448200
80211-1125,382700
80205-2754,584700
80219-3507,355700
80223-1418,305200
80209-2114,550800
80249-8034,263900
80219-2289,250600
80236-2285,287200
80239-3639,219200
80204-3940,359300
None,100
80237-2513,375600
80239-4333,265600
80210-4908,705400
80207-2937,335100
80212-1598,1137800
80220-1315,821500
80211-2024,406000
None,100
80202-1183,749500
80205-5126,1500
80221-1226,202000
80239-2804,197000
80236-3644,895200
80246-2316,352500
80249-7614,366000
80219-3211,63400
80210-3349,425900
None,375500
80219-4303,262500
None,190600
80227-4115,349200
80239-5621,274900
80207-3010,397300
80211-2722,474400
80204-3152,229900
80204-3168,214800
80211-2639,303900
80210-5712,408700
80223-3512,208300
80210-2316,555300
80249-7353,303500
None,366500
80249-6996,268800
None,317800
80239-3711,228900
80249-8709,345400
80238-3057,279900
None,643600
80238-3236,469800
80219-2118,165100
80237-2109,428500
80207-2303,235200
80219-1513,136100
80219-3755,259500
None,426900
80210-2208,361500
80210-3016,485700
80236-3017,258800
80211-2146,364000
80219-5723,272600
None,100
80206-4423,858500
80231-4768,380900
80210-2224,436200
80210-2905,391400
80220-4473,445500
80224-2002,343300
80220-5636,1064800
80210-5008,140600
80220-3018,333400
80218-3110,703800
80219-3637,261900
80207-1601,234800
80222-3857,423600
80205-4524,437600
80205-4750,361600
80204-1111,579000
80239-4041,239500
80231-4517,405100
80218-3403,607300
80204-5602,442800
80219-2435,182100
80205-4162,480200
80203-3807,452100
80211-1826,369700
80220-3145,346000
80210-6338,532600
80212-2036,507000
80249-8722,394500
80238-3066,1122000
80220-2050,249400
80239-4134,223700
80206-4042,449500
80209-2432,461900
80224-1405,344000
80239-3754,214100
80220-4439,342600
80209-4932,1329900
80231-4749,373500
None,394900
80249-8392,339300
80212-2122,493600
