"","prim_state","area","area_name","occ_code1","occ_code2","occ_title","occ_group","tot_emp","emp_prse","jobs_1000","loc_quotient","h_mean","a_mean","mean_prse","h_pct10","h_pct25","h_median","h_pct75","h_pct90","a_pct10","a_pct25","a_median","a_pct75","a_pct90","annual","hourly","quartilespread"
"1","CO","19740","Denver-Aurora-Lakewood, CO","11","0000","Management Occupations",NA,68290,1.7,47.32,0.93,66.32,137940,1.1,27.55,40.86,59.04,81.98,208000,57300,84990,122810,170510,208000,NA,NA,85520
"2","CO","19740","Denver-Aurora-Lakewood, CO","13","0000","Business and Financial Operations Occupations",NA,120260,1.5,83.332,1.59,38.05,79150,0.9,20.27,26.22,34.54,45.71,59.53,42170,54530,71850,95080,123820,NA,NA,40550
"3","CO","19740","Denver-Aurora-Lakewood, CO","15","0000","Computer and Mathematical Occupations",NA,71000,2.7,49.199,1.65,46.61,96940,1.3,25.26,33.78,45.29,57.6,69.76,52530,70270,94210,119800,145100,NA,NA,49530
"4","CO","19740","Denver-Aurora-Lakewood, CO","17","0000","Architecture and Engineering Occupations",NA,37650,3.6,26.091,1.48,44.41,92370,1.7,23.43,30.72,39.81,53.62,71.23,48720,63890,82810,111530,148160,NA,NA,47640
"5","CO","19740","Denver-Aurora-Lakewood, CO","19","0000","Life, Physical, and Social Science Occupations",NA,14500,3.7,10.045,1.25,38.21,79480,4.4,17.66,23.57,32.85,46.93,61.45,36720,49030,68330,97620,127820,NA,NA,48590
"6","CO","19740","Denver-Aurora-Lakewood, CO","21","0000","Community and Social Service Occupations",NA,18340,2.6,12.705,0.86,24.4,50750,1.8,13.61,17.38,22.89,29.72,37.62,28310,36160,47610,61810,78250,NA,NA,25650
"7","CO","19740","Denver-Aurora-Lakewood, CO","23","0000","Legal Occupations",NA,14500,3.8,10.046,1.31,54.67,113710,6,21.78,30.37,43.15,71.39,99.74,45290,63170,89740,148480,207450,NA,NA,85310
"8","CO","19740","Denver-Aurora-Lakewood, CO","25","0000","Education, Training, and Library Occupations",NA,71620,1.2,49.628,0.81,27.52,57240,6.2,12.66,16.66,23.51,33.17,43.3,26330,34640,48890,68990,90060,NA,NA,34350
"9","CO","19740","Denver-Aurora-Lakewood, CO","27","0000","Arts, Design, Entertainment, Sports, and Media Occupations",NA,22870,3.9,15.848,1.17,27.42,57030,2.7,10.67,15.29,22.76,33.28,47.05,22190,31800,47330,69220,97870,NA,NA,37420
"10","CO","19740","Denver-Aurora-Lakewood, CO","29","0000","Healthcare Practitioners and Technical Occupations",NA,76990,1.5,53.349,0.89,41.15,85590,2.1,18.54,26.05,34.93,46.22,64.89,38560,54190,72650,96140,134980,NA,NA,41950
"11","CO","19740","Denver-Aurora-Lakewood, CO","31","0000","Healthcare Support Occupations",NA,32220,3.4,22.324,0.77,17.23,35840,1.4,11.25,13.54,16.58,19.68,24.23,23410,28160,34490,40940,50400,NA,NA,12780
"12","CO","19740","Denver-Aurora-Lakewood, CO","33","0000","Protective Service Occupations",NA,29530,5.1,20.462,0.86,23.7,49300,5.3,10.45,12.57,19.28,34.27,44.32,21740,26150,40100,71280,92180,NA,NA,45130
"13","CO","19740","Denver-Aurora-Lakewood, CO","35","0000","Food Preparation and Serving Related Occupations",NA,130510,2.2,90.434,0.98,12.28,25550,1.2,9.34,9.52,10.58,13.13,17.64,19430,19790,22010,27320,36700,NA,NA,7530
"14","CO","19740","Denver-Aurora-Lakewood, CO","37","0000","Building and Grounds Cleaning and Maintenance Occupations",NA,42420,2.3,29.398,0.95,14.54,30250,1.9,9.69,10.89,13.07,16.72,22.22,20160,22640,27180,34790,46220,NA,NA,12150
"15","CO","19740","Denver-Aurora-Lakewood, CO","39","0000","Personal Care and Service Occupations",NA,50930,2.5,35.289,0.98,14.1,29340,2,9.44,9.9,11.69,15.52,22.47,19630,20600,24320,32280,46740,NA,NA,11680
"16","CO","19740","Denver-Aurora-Lakewood, CO","41","0000","Sales and Related Occupations",NA,171460,1.9,118.809,1.17,23.53,48950,1.7,9.48,10.87,15.95,29,47.83,19730,22610,33170,60320,99480,NA,NA,37710
"17","CO","19740","Denver-Aurora-Lakewood, CO","43","0000","Office and Administrative Support Occupations",NA,204370,1.2,141.614,0.92,20.02,41640,0.7,11.3,14.37,18.52,24.12,29.92,23510,29890,38520,50170,62240,NA,NA,20280
"18","CO","19740","Denver-Aurora-Lakewood, CO","45","0000","Farming, Fishing, and Forestry Occupations",NA,2730,25.2,1.893,0.57,13.64,28370,4.2,9.36,9.49,12.03,16.01,19.77,19470,19740,25020,33300,41120,NA,NA,13560
"19","CO","19740","Denver-Aurora-Lakewood, CO","47","0000","Construction and Extraction Occupations",NA,69330,2.5,48.043,1.2,23.69,49270,1,14.1,17.32,22.18,28.45,35.72,29320,36030,46140,59180,74290,NA,NA,23150
"20","CO","19740","Denver-Aurora-Lakewood, CO","49","0000","Installation, Maintenance, and Repair Occupations",NA,51510,2.8,35.691,0.92,25.17,52350,1.1,13.52,17.44,23.73,31.2,38.89,28130,36280,49350,64890,80900,NA,NA,28610
"21","CO","19740","Denver-Aurora-Lakewood, CO","51","0000","Production Occupations",NA,52160,3,36.147,0.57,18.85,39210,1.2,10.47,12.77,16.79,22.66,30.14,21770,26560,34920,47130,62700,NA,NA,20570
"22","CO","19740","Denver-Aurora-Lakewood, CO","53","0000","Transportation and Material Moving Occupations",NA,89950,3.7,62.332,0.89,21.02,43720,6.1,9.94,12.32,16.84,23.05,30.9,20670,25630,35020,47950,64280,NA,NA,22320
