"","geo_id","nhid","nhname","county","tract_num","less10","10to19","20to29","30to39","40to59","60to89","90plus","total_outside","workedhome","total","avgcommute"
"1",8001007801,283,"Montview Park"," Adams County",7801,18,513,404,490,182,129,167,1903,36,1939,33
"2",8001007802,283,"Montview Park"," Adams County",7802,31,604,316,358,300,173,58,1840,6,1846,30
"3",8001007900,283,"Montview Park"," Adams County",7900,118,481,881,492,319,131,128,2550,48,2598,30
"4",8001008000,283,"Montview Park"," Adams County",8000,84,664,664,558,327,211,40,2548,62,2610,30
"5",8001008100,283,"Montview Park"," Adams County",8100,60,232,116,62,34,25,0,529,33,562,20
"6",8001008200,285,"North Aurora"," Adams County",8200,273,585,393,460,298,79,14,2102,105,2207,24
"7",8001008308,285,"North Aurora"," Adams County",8308,50,657,317,533,291,185,74,2107,84,2191,31
"8",8001008309,285,"North Aurora"," Adams County",8309,59,439,464,311,138,63,0,1474,28,1502,24
"9",8001008353,285,"North Aurora"," Adams County",8353,187,817,701,971,547,153,193,3569,94,3663,32
"10",8001008401,105,"Northeast Adams"," Adams County",8401,195,269,288,541,541,195,53,2082,152,2234,34
"11",8001008402,105,"Northeast Adams"," Adams County",8402,286,313,193,382,556,310,81,2121,259,2380,35
"12",8001008505,113,"Central Northglenn"," Adams County",8505,189,637,768,908,533,341,98,3474,160,3634,33
"13",8001008506,113,"Central Northglenn"," Adams County",8506,309,815,476,733,396,165,91,2985,77,3062,28
"14",8001008507,100,"Wyco Park"," Adams County",8507,332,658,702,795,594,238,68,3387,147,3534,28
"15",8001008508,280,"North Thornton"," Adams County",8508,90,442,549,788,743,234,0,2846,171,3017,32
"16",8001008523,200,"Barr Lake State Park"," Adams County",8523,420,581,716,794,896,346,126,3879,312,4191,32
"17",8001008524,279,"Todd Creek and East Thornton"," Adams County",8524,169,859,968,938,1089,199,0,4222,212,4434,30
"18",8001008526,280,"North Thornton"," Adams County",8526,307,678,626,613,797,186,65,3272,372,3644,31
"19",8001008529,280,"North Thornton"," Adams County",8529,343,678,924,989,543,308,73,3858,286,4144,30
"20",8001008533,278,"Riverdale Park and South Thornton"," Adams County",8533,130,860,914,1286,824,250,159,4423,211,4634,33
"21",8001008534,278,"Riverdale Park and South Thornton"," Adams County",8534,175,590,597,631,341,135,50,2519,99,2618,28
"22",8001008535,199,"Central Commerce City"," Adams County",8535,119,337,610,448,222,130,30,1896,85,1981,28
"23",8001008536,200,"Barr Lake State Park"," Adams County",8536,59,253,392,311,289,77,23,1404,165,1569,30
"24",8001008537,199,"Central Commerce City"," Adams County",8537,135,568,713,956,518,256,38,3184,111,3295,31
"25",8001008538,200,"Barr Lake State Park"," Adams County",8538,245,418,787,762,539,219,16,2986,342,3328,30
"26",8001008539,199,"Central Commerce City"," Adams County",8539,202,878,1541,1152,976,228,141,5118,114,5232,32
"27",8001008540,279,"Todd Creek and East Thornton"," Adams County",8540,164,439,940,905,1030,181,127,3786,297,4083,33
"28",8001008541,279,"Todd Creek and East Thornton"," Adams County",8541,27,232,363,760,624,258,9,2273,184,2457,35
"29",8001008542,108,"East Brighton"," Adams County",8542,338,628,738,719,664,603,70,3760,331,4091,32
"30",8001008543,109,"Benedict Park"," Adams County",8543,516,662,685,925,549,162,74,3573,213,3786,28
"31",8001008544,280,"North Thornton"," Adams County",8544,138,403,614,557,464,174,36,2386,182,2568,30
"32",8001008545,280,"North Thornton"," Adams County",8545,240,946,691,842,761,129,26,3635,320,3955,28
"33",8001008546,279,"Todd Creek and East Thornton"," Adams County",8546,93,293,362,503,366,62,25,1704,72,1776,30
"34",8001008547,279,"Todd Creek and East Thornton"," Adams County",8547,135,376,394,437,335,229,13,1919,106,2025,30
"35",8001008548,279,"Todd Creek and East Thornton"," Adams County",8548,20,123,172,223,241,62,24,865,33,898,35
"36",8001008549,279,"Todd Creek and East Thornton"," Adams County",8549,70,345,479,553,390,240,65,2142,182,2324,35
"37",8001008550,279,"Todd Creek and East Thornton"," Adams County",8550,201,807,1246,721,826,173,88,4062,161,4223,31
"38",8001008551,279,"Todd Creek and East Thornton"," Adams County",8551,77,61,96,133,161,14,46,588,85,673,35
"39",8001008603,110,"West Brighton"," Adams County",8603,132,223,110,181,123,22,8,799,48,847,24
"40",8001008604,110,"West Brighton"," Adams County",8604,325,394,242,395,204,65,40,1665,133,1798,25
"41",8001008605,109,"Benedict Park"," Adams County",8605,244,455,292,376,182,58,36,1643,128,1771,25
"42",8001008606,110,"West Brighton"," Adams County",8606,691,584,464,533,536,97,15,2920,163,3083,24
"43",8001008705,198,"South Commerce City"," Adams County",8705,250,716,434,507,96,10,14,2027,83,2110,21
"44",8001008706,198,"South Commerce City"," Adams County",8706,163,634,526,451,178,103,89,2144,0,2144,27
"45",8001008709,198,"South Commerce City"," Adams County",8709,311,774,431,728,244,230,122,2840,50,2890,29
"46",8001008801,197,"Derby"," Adams County",8801,226,526,410,532,300,120,11,2125,36,2161,26
"47",8001008802,197,"Derby"," Adams County",8802,135,476,456,471,169,153,40,1900,42,1942,27
"48",8001008901,198,"South Commerce City"," Adams County",8901,153,268,140,186,93,40,31,911,20,931,25
"49",8001009001,277,"Southwest Thornton"," Adams County",9001,98,450,544,370,196,53,26,1737,89,1826,26
"50",8001009002,101,"Welby and East North Washington"," Adams County",9002,203,1098,1378,976,446,442,26,4569,85,4654,28
"51",8001009101,277,"Southwest Thornton"," Adams County",9101,99,784,529,621,228,58,49,2368,11,2379,26
"52",8001009103,278,"Riverdale Park and South Thornton"," Adams County",9103,34,327,437,388,230,47,41,1504,54,1558,28
"53",8001009104,278,"Riverdale Park and South Thornton"," Adams County",9104,147,634,775,821,417,258,74,3126,85,3211,30
"54",8001009202,277,"Southwest Thornton"," Adams County",9202,148,449,646,410,222,185,122,2182,61,2243,30
"55",8001009203,277,"Southwest Thornton"," Adams County",9203,192,589,484,542,96,20,16,1939,35,1974,23
"56",8001009204,278,"Riverdale Park and South Thornton"," Adams County",9204,154,850,1093,1074,475,224,62,3932,41,3973,30
"57",8001009206,278,"Riverdale Park and South Thornton"," Adams County",9206,67,278,179,280,172,114,14,1104,23,1127,30
"58",8001009207,278,"Riverdale Park and South Thornton"," Adams County",9207,142,533,700,447,517,161,20,2520,81,2601,29
"59",8001009304,113,"Central Northglenn"," Adams County",9304,250,849,649,365,442,146,67,2768,173,2941,27
"60",8001009306,103,"Federal Heights"," Adams County",9306,218,526,386,391,189,65,29,1804,89,1893,24
"61",8001009307,277,"Southwest Thornton"," Adams County",9307,193,558,468,361,214,121,47,1962,66,2028,27
"62",8001009308,103,"Federal Heights"," Adams County",9308,162,519,438,554,259,226,69,2227,52,2279,30
"63",8001009309,107,"South Westminster"," Adams County",9309,76,580,461,220,360,86,38,1821,54,1875,28
"64",8001009310,103,"Federal Heights"," Adams County",9310,342,706,721,445,310,81,56,2661,42,2703,24
"65",8001009316,103,"Federal Heights"," Adams County",9316,268,570,797,603,355,342,42,2977,83,3060,29
