"","nbhd","cmasprof","cmas.perc"
"1","Alder-Three Sisters Park",55.3666666666667,0.772727272727273
"2","Allendale",40.3416666666667,0.527272727272727
"3","Alta Vista and Memorial Park",25.6285714285714,0.236363636363636
"4","Applewood, Echo Hill, Rolling Hills and Meadows",64.1229166666667,0.904545454545455
"5","Arvada Center",17.2,0.0590909090909091
"6","Athmar Park",27.2008333333333,0.263636363636364
"7","Aurora Highlands and Side Creek",16.3142857142857,0.0409090909090909
"8","Baker",37.4333333333333,0.45
"9","Barnum",12.9166666666667,0.0227272727272727
"10","Barnum West",24.15,0.195454545454545
"11","Barr Lake State Park",44.2,0.572727272727273
"12","Bear Valley",23.34,0.172727272727273
"13","Bell Park",69.1238095238095,0.95
"14","Benedict Park, Central Brighton",23.6033333333333,0.181818181818182
"15","Berkeley",32.55,0.363636363636364
"16","Berrian Mountain",56.7222222222222,0.813636363636364
"17","Big Dry Creek",29.4416666666667,0.3
"18","Bowels Grove Park",47.8583333333333,0.654545454545455
"19","Capitol Hill",32.1675324675325,0.354545454545455
"20","Castle Pines North",55.8912202380952,0.8
"21","Castlewood Ranch",38.8875,0.490909090909091
"22","Centennial Airport",47.154,0.645454545454546
"23","Central Commerce City",35.05,0.413636363636364
"24","Central East Aurora",24.4916666666667,0.209090909090909
"25","Central North Broomfield",57.5722222222222,0.822727272727273
"26","Central Northglenn",22.7820875420875,0.159090909090909
"27","Central south Littleton",64.1583333333333,0.909090909090909
"28","Central West Broomfield",48.425,0.668181818181818
"29","Chaffee Park",16.3666666666667,0.05
"30","Chambers Heights and Laredo Highline",23.0190476190476,0.163636363636364
"31","Charles Whitlock Rec Park and Morse Park",20.375,0.113636363636364
"32","Chautauqua, Table Mesa, and Devil's Thumb",65.5276666666667,0.922727272727273
"33","Cherry Creek",75.0333333333333,0.981818181818182
"34","Cherry Creek Reservoir",61.1041666666667,0.872727272727273
"35","Cherry Hills Village Area",80.0666666666667,0.990909090909091
"36","City Park",38.8875,0.486363636363636
"37","Clark Centennial Park",38.1013247863248,0.481818181818182
"38","Clayton",23.6505555555556,0.186363636363636
"39","Clement Park",60.375,0.863636363636364
"40","Clubcrest",55.6625,0.790909090909091
"41","Cole",22.3144444444444,0.140909090909091
"42","College View",34.12,0.390909090909091
"43","Congress Park",59.4833333333333,0.85
"44","Conservatory",46.7083333333333,0.636363636363636
"45","Continental Divide Raceway, Dawson Butte and True Mountain",43.1333333333333,0.554545454545455
"46","Cory-Merrill",61.1055555555556,0.877272727272727
"47","Country Club",26.8571428571429,0.25
