"","county","distcode","district","schoolcode","school","cohort","gradrate"
"1","ADAMS","0010","MAPLETON 1","0187","Mapleton Expeditionary School Of The Arts","20162017","0.73913043478260798"
"2","ADAMS","0010","MAPLETON 1","0187","Mapleton Expeditionary School Of The Arts","20152016","0.84057971014492705"
"3","ADAMS","0010","MAPLETON 1","0187","Mapleton Expeditionary School Of The Arts","20142015","0.88888888888888795"
"4","ADAMS","0010","MAPLETON 1","0187","Mapleton Expeditionary School Of The Arts","20132014","0.76056338028169002"
"5","ADAMS","0010","MAPLETON 1","0212","Mapleton Early College High School","20162017","0.80645161290322498"
"6","ADAMS","0010","MAPLETON 1","0212","Mapleton Early College High School","20152016","0.96666666666666601"
"7","ADAMS","0010","MAPLETON 1","0212","Mapleton Early College High School","20142015","0.92156862745098"
"8","ADAMS","0010","MAPLETON 1","0212","Mapleton Early College High School","20132014","0.96774193548387"
"9","ADAMS","0010","MAPLETON 1","0263","Global Leadership Academy","20162017","0.659574468085106"
"10","ADAMS","0010","MAPLETON 1","0263","Global Leadership Academy","20152016","0.84848484848484795"
"11","ADAMS","0010","MAPLETON 1","0263","Global Leadership Academy","20142015","0.83333333333333304"
"12","ADAMS","0010","MAPLETON 1","0263","Global Leadership Academy","20132014","0.66666666666666596"
"13","ADAMS","0010","MAPLETON 1","0309","Academy High School","20162017","0.80769230769230704"
"14","ADAMS","0010","MAPLETON 1","0309","Academy High School","20152016","0.87654320987654299"
"15","ADAMS","0010","MAPLETON 1","0309","Academy High School","20142015","0.87931034482758597"
"16","ADAMS","0010","MAPLETON 1","0309","Academy High School","20132014","0.8"
"17","ADAMS","0010","MAPLETON 1","0503","York International","20162017","0.83783783783783705"
"18","ADAMS","0010","MAPLETON 1","0503","York International","20152016","0.86666666666666603"
"19","ADAMS","0010","MAPLETON 1","0503","York International","20142015","0.85"
"20","ADAMS","0010","MAPLETON 1","0503","York International","20132014","0.88372093023255804"
"21","ADAMS","0010","MAPLETON 1","1796","Colorado Connections Academy","20162017","0.472622478386167"
"22","ADAMS","0010","MAPLETON 1","1796","Colorado Connections Academy","20152016","0.60927152317880695"
"23","ADAMS","0010","MAPLETON 1","1796","Colorado Connections Academy","20142015","0.56652360515021405"
"24","ADAMS","0010","MAPLETON 1","1796","Colorado Connections Academy","20132014","0.56310679611650405"
"25","ADAMS","0010","MAPLETON 1","6315","North Valley School For Young Adults","20162017","0.16666666666666599"
"26","ADAMS","0010","MAPLETON 1","6315","North Valley School For Young Adults","20152016","0.45454545454545398"
"27","ADAMS","0010","MAPLETON 1","6315","North Valley School For Young Adults","20142015","0.677966101694915"
"28","ADAMS","0010","MAPLETON 1","6315","North Valley School For Young Adults","20132014","0.68421052631578905"
"29","ADAMS","0010","MAPLETON 1","9998","DISTRICT TOTAL","20162017","0.59039548022598798"
"30","ADAMS","0010","MAPLETON 1","9998","DISTRICT TOTAL","20152016","0.71782945736434101"
"31","ADAMS","0010","MAPLETON 1","9998","DISTRICT TOTAL","20142015","0.72253258845437596"
"32","ADAMS","0010","MAPLETON 1","9998","DISTRICT TOTAL","20132014","0.69573643410852704"
"33","ADAMS","0020","ADAMS 12 FIVE STAR SCHOOLS","0015","Academy Of Charter Schools","20162017","0"
"34","ADAMS","0020","ADAMS 12 FIVE STAR SCHOOLS","0015","Academy Of Charter Schools","20152016","0"
"35","ADAMS","0020","ADAMS 12 FIVE STAR SCHOOLS","0015","Academy Of Charter Schools","20142015","0"
"36","ADAMS","0020","ADAMS 12 FIVE STAR SCHOOLS","0015","Academy Of Charter Schools","20132014","0.96842105263157796"
"37","ADAMS","0020","ADAMS 12 FIVE STAR SCHOOLS","0210","Vantage Point","20162017","0.42753623188405698"
"38","ADAMS","0020","ADAMS 12 FIVE STAR SCHOOLS","0210","Vantage Point","20152016","0.51190476190476097"
"39","ADAMS","0020","ADAMS 12 FIVE STAR SCHOOLS","0210","Vantage Point","20142015","0.51612903225806395"
"40","ADAMS","0020","ADAMS 12 FIVE STAR SCHOOLS","0210","Vantage Point","20132014","0.58955223880596996"
"41","ADAMS","0020","ADAMS 12 FIVE STAR SCHOOLS","1752","Colorado Virtual Academy (Cova)","20162017","0"
"42","ADAMS","0020","ADAMS 12 FIVE STAR SCHOOLS","1752","Colorado Virtual Academy (Cova)","20152016","0"
"43","ADAMS","0020","ADAMS 12 FIVE STAR SCHOOLS","1752","Colorado Virtual Academy (Cova)","20142015","4.22535211267605E-2"
