"","address","countyfips","county","charter","city","distcode","district","highest","lowest","phone","schoolcode","school","setting","state","type","fips","zip","content","proficiency"
"1","8970 YORK STREET",1,"ADAMS","N","THORNTON",10,"MAPLETON 1","12th Grade","9th Grade",3038531900,309,"ACADEMY HIGH SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80229,"ELA",18.7
"2","8970 YORK STREET",1,"ADAMS","N","THORNTON",10,"MAPLETON 1","12th Grade","9th Grade",3038531900,309,"ACADEMY HIGH SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80229,"Math",11.3
"3","9100 POZE BLVD",1,"ADAMS","N","THORNTON",10,"MAPLETON 1","8th Grade","Preschool",3038531300,505,"ACHIEVE ACADEMY","Denver Metro","CO","Public School Physical Address",8001,80229,"ELA",24.9333333333333
"4","9100 POZE BLVD",1,"ADAMS","N","THORNTON",10,"MAPLETON 1","8th Grade","Preschool",3038531300,505,"ACHIEVE ACADEMY","Denver Metro","CO","Public School Physical Address",8001,80229,"Math",14.15
"5","7700 DELTA ST.",1,"ADAMS","N","DENVER",10,"MAPLETON 1","6th Grade","Preschool",3038531410,507,"ADVENTURE ELEMENTARY","Denver Metro","CO","Public School Physical Address",8001,80221,"ELA",20.9
"6","7700 DELTA ST.",1,"ADAMS","N","DENVER",10,"MAPLETON 1","6th Grade","Preschool",3038531410,507,"ADVENTURE ELEMENTARY","Denver Metro","CO","Public School Physical Address",8001,80221,"Math",20.3
"7","8990 YORK STREET",1,"ADAMS","N","THORNTON",10,"MAPLETON 1","10th Grade","9th Grade",3038531690,695,"BIG PICTURE COLLEGE AND CAREER ACADEMY","Denver Metro","CO","Public School Physical Address",8001,80229,"ELA",29.4
"8","8970 YORK STREET",1,"ADAMS","N","THORNTON",10,"MAPLETON 1","8th Grade","Kindergarten",3038531460,509,"CLAYTON PARTNERSHIP SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80229,"ELA",28.025
"9","8970 YORK STREET",1,"ADAMS","N","THORNTON",10,"MAPLETON 1","8th Grade","Kindergarten",3038531460,509,"CLAYTON PARTNERSHIP SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80229,"Math",21.74
"10","8 INVERNESS DRIVE E SUITE 240",5,"ARAPAHOE","N","ENGLEWOOD",10,"MAPLETON 1","12th Grade","Kindergarten",3037942302,1796,"COLORADO CONNECTIONS ACADEMY","Denver Metro","CO","Public School Physical Address",8005,80112,"ELA",33.1
"11","8 INVERNESS DRIVE E SUITE 240",5,"ARAPAHOE","N","ENGLEWOOD",10,"MAPLETON 1","12th Grade","Kindergarten",3037942302,1796,"COLORADO CONNECTIONS ACADEMY","Denver Metro","CO","Public School Physical Address",8005,80112,"Math",19.9
"12","2410 POZE BLVD",1,"ADAMS","N","THORNTON",10,"MAPLETON 1","6th Grade","Preschool",3038531300,506,"EXPLORE ELEMENTARY","Denver Metro","CO","Public School Physical Address",8001,80229,"ELA",23.4
"13","2410 POZE BLVD",1,"ADAMS","N","THORNTON",10,"MAPLETON 1","6th Grade","Preschool",3038531300,506,"EXPLORE ELEMENTARY","Denver Metro","CO","Public School Physical Address",8001,80229,"Math",18.825
"14","7480 CONIFER ROAD",1,"ADAMS","N","DENVER",10,"MAPLETON 1","8th Grade","4th Grade",3038531930,3590,"GLOBAL INTERMEDIATE ACADEMY","Denver Metro","CO","Public School Physical Address",8001,80221,"ELA",18.7
"15","7480 CONIFER ROAD",1,"ADAMS","N","DENVER",10,"MAPLETON 1","8th Grade","4th Grade",3038531930,3590,"GLOBAL INTERMEDIATE ACADEMY","Denver Metro","CO","Public School Physical Address",8001,80221,"Math",15.4
"16","7480 CONIFER ROAD",1,"ADAMS","N","DENVER",10,"MAPLETON 1","12th Grade","9th Grade",3038531930,263,"GLOBAL LEADERSHIP ACADEMY","Denver Metro","CO","Public School Physical Address",8001,80221,"ELA",10.4
"17","7480 CONIFER ROAD",1,"ADAMS","N","DENVER",10,"MAPLETON 1","3rd Grade","Preschool",3038531170,3623,"GLOBAL PRIMARY ACADEMY","Denver Metro","CO","Public School Physical Address",8001,80221,"ELA",10.6
"18","8980 YORK STREET",1,"ADAMS","N","THORNTON",10,"MAPLETON 1","12th Grade","9th Grade",3038531960,212,"MAPLETON EARLY COLLEGE HIGH SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80229,"ELA",29.3
"19","8980 YORK STREET",1,"ADAMS","N","THORNTON",10,"MAPLETON 1","12th Grade","7th Grade",3038531270,187,"MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS","Denver Metro","CO","Public School Physical Address",8001,80299,"ELA",21.8666666666667
"20","8980 YORK STREET",1,"ADAMS","N","THORNTON",10,"MAPLETON 1","12th Grade","7th Grade",3038531270,187,"MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS","Denver Metro","CO","Public School Physical Address",8001,80299,"Math",10.2333333333333
"21","9150 MONROE ST",1,"ADAMS","N","THORNTON",10,"MAPLETON 1","8th Grade","Preschool",3038531500,502,"MEADOW COMMUNITY SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80229,"ELA",22.55
"22","9150 MONROE ST",1,"ADAMS","N","THORNTON",10,"MAPLETON 1","8th Grade","Preschool",3038531500,502,"MEADOW COMMUNITY SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80229,"Math",22.875
"23","2210 MCELWAIN BLVD",1,"ADAMS","N","DENVER",10,"MAPLETON 1","8th Grade","Preschool",3038531360,501,"MONTEREY COMMUNITY SCHOOL","Denver Metro","CO","Public School Physical Address",8001,80229,"ELA",20.95
