address,countyfips,county,charter,city,distcode,district,highest,lowest,phone,schoolcode,name,setting,state,type,fips,zip
8970 YORK STREET,1,ADAMS,N,THORNTON,10,MAPLETON 1,12th Grade,9th Grade,3038531900,309,ACADEMY HIGH SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80229
9100 POZE BLVD,1,ADAMS,N,THORNTON,10,MAPLETON 1,8th Grade,Preschool,3038531300,505,ACHIEVE ACADEMY,Denver Metro,CO,Public School Physical Address,8001,80229
7700 DELTA ST.,1,ADAMS,N,DENVER,10,MAPLETON 1,6th Grade,Preschool,3038531410,507,ADVENTURE ELEMENTARY,Denver Metro,CO,Public School Physical Address,8001,80221
8990 YORK STREET,1,ADAMS,N,THORNTON,10,MAPLETON 1,10th Grade,9th Grade,3038531690,695,BIG PICTURE COLLEGE AND CAREER ACADEMY,Denver Metro,CO,Public School Physical Address,8001,80229
8970 YORK STREET,1,ADAMS,N,THORNTON,10,MAPLETON 1,8th Grade,Kindergarten,3038531460,509,CLAYTON PARTNERSHIP SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80229
8 INVERNESS DRIVE E SUITE 240,5,ARAPAHOE,N,ENGLEWOOD,10,MAPLETON 1,12th Grade,Kindergarten,3037942302,1796,COLORADO CONNECTIONS ACADEMY,Denver Metro,CO,Public School Physical Address,8005,80112
2410 POZE BLVD,1,ADAMS,N,THORNTON,10,MAPLETON 1,6th Grade,Preschool,3038531300,506,EXPLORE ELEMENTARY,Denver Metro,CO,Public School Physical Address,8001,80229
7480 CONIFER ROAD,1,ADAMS,N,DENVER,10,MAPLETON 1,8th Grade,4th Grade,3038531930,3590,GLOBAL INTERMEDIATE ACADEMY,Denver Metro,CO,Public School Physical Address,8001,80221
7480 CONIFER ROAD,1,ADAMS,N,DENVER,10,MAPLETON 1,12th Grade,9th Grade,3038531930,263,GLOBAL LEADERSHIP ACADEMY,Denver Metro,CO,Public School Physical Address,8001,80221
7480 CONIFER ROAD,1,ADAMS,N,DENVER,10,MAPLETON 1,3rd Grade,Preschool,3038531170,3623,GLOBAL PRIMARY ACADEMY,Denver Metro,CO,Public School Physical Address,8001,80221
8980 YORK STREET,1,ADAMS,N,THORNTON,10,MAPLETON 1,12th Grade,9th Grade,3038531960,212,MAPLETON EARLY COLLEGE HIGH SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80229
8980 YORK STREET,1,ADAMS,N,THORNTON,10,MAPLETON 1,12th Grade,7th Grade,3038531270,187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,Denver Metro,CO,Public School Physical Address,8001,80299
9150 MONROE ST,1,ADAMS,N,THORNTON,10,MAPLETON 1,8th Grade,Preschool,3038531500,502,MEADOW COMMUNITY SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80229
2210 MCELWAIN BLVD,1,ADAMS,N,DENVER,10,MAPLETON 1,8th Grade,Preschool,3038531360,501,MONTEREY COMMUNITY SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80229
8990 YORK ST,1,ADAMS,N,THORNTON,10,MAPLETON 1,12th Grade,9th Grade,3038531790,6315,NORTH VALLEY SCHOOL FOR YOUNG ADULTS,Denver Metro,CO,Public School Physical Address,8001,80229
660 WEST 70TH AVENUE,1,ADAMS,N,DENVER,10,MAPLETON 1,8th Grade,Kindergarten,3038531560,9036,VALLEY VIEW K-8,Denver Metro,CO,Public School Physical Address,8001,80221
1200 E 78TH AVE,1,ADAMS,N,DENVER,10,MAPLETON 1,6th Grade,Preschool,3038531700,504,WELBY COMMUNITY SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80229
9200 YORK ST,1,ADAMS,N,THORNTON,10,MAPLETON 1,12th Grade,Kindergarten,3038531600,503,YORK INTERNATIONAL,Denver Metro,CO,Public School Physical Address,8001,80229
1500 EAST 128TH AVENUE,1,ADAMS,N,THORNTON,20,ADAMS 12 FIVE STAR SCHOOLS,Preschool,Preschool,7209726001,70,ADAMS12 FIVE STAR PRESCHOOL,Denver Metro,CO,Public School Physical Address,8001,80241
13095 PECOS STREET,1,ADAMS,N,WESTMINSTER,20,ADAMS 12 FIVE STAR SCHOOLS,5th Grade,Kindergarten,7209725740,301,ARAPAHOE RIDGE ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80030
5321 EAST 136TH AVENUE,1,ADAMS,N,BRIGHTON,20,ADAMS 12 FIVE STAR SCHOOLS,Preschool,Preschool,7209724574,1020,BRIGHT HORIZONS PRE-KINDERGARTEN SCHOOL,Denver Metro,CO,Public School Physical Address,8001,80601
13200 WESTLAKE DRIVE,14,BROOMFIELD,N,BROOMFIELD,20,ADAMS 12 FIVE STAR SCHOOLS,5th Grade,Preschool,7209725280,1388,CENTENNIAL ELEMENTARY SCHOOL,Denver Metro,CO,Public School Physical Address,8014,80020
